Time [s],Channel 0
0.506559500,1
0.506568042,0
0.506610833,1
0.506636500,0
0.506645042,1
0.506653625,0
0.506662167,1
0.506670708,0
0.506679292,1
0.506687833,0
0.506696375,1
0.506722083,0
0.506730625,1
0.506739167,0
0.506747750,1
0.506764875,0
0.506790542,1
0.506807625,0
0.506816208,1
0.506824750,0
0.506859000,1
0.506867542,0
0.506876083,1
0.506893208,0
0.506901750,1
0.506910333,0
0.506918875,1
0.506927458,0
0.506936000,1
0.506944542,0
0.506953125,1
0.506978792,0
0.506987333,1
0.506995917,0
0.507004458,1
0.507021583,0
0.507047250,1
0.507064375,0
0.507072917,1
0.507081458,0
0.507115708,1
0.507124250,0
0.507132792,1
0.507149917,0
0.507158500,1
0.507167042,0
0.507175583,1
0.507184167,0
0.507192708,1
0.507201292,0
0.507209833,1
0.507235500,0
0.507244042,1
0.507252625,0
0.507261167,1
0.507269750,0
0.507278292,1
0.507295417,0
0.507329625,1
0.507338208,0
0.507355292,1
0.507363875,0
0.507372417,1
0.507380958,0
0.507415208,1
1.008997208,0
1.009022875,1
1.009031458,0
1.009040000,1
1.009048583,0
1.009057125,1
1.009065667,0
1.009074250,1
1.009082792,0
1.009091333,1
1.009099917,0
1.009108458,1
1.009117000,0
1.009125583,1
1.009151250,0
1.009159792,1
1.009168375,0
1.009185458,1
1.009194042,0
1.009211125,1
1.009236833,0
1.009245375,1
1.009253917,0
1.009262500,1
1.009279625,0
1.009288167,1
1.009296708,0
1.009305292,1
1.009322375,0
1.009330958,1
1.009339500,0
1.009348042,1
1.009356625,0
1.009373750,1
1.009382292,0
1.009390833,1
1.009407958,0
1.009416500,1
1.009425083,0
1.009433625,1
1.009450750,0
1.009467875,1
1.009493542,0
1.009502083,1
1.009510667,0
1.009544875,1
1.009553417,0
1.009562000,1
1.009579125,0
1.009587667,1
1.009596208,0
1.009647583,1
1.009656125,0
1.009673250,1
1.009681792,0
1.009690333,1
1.009698917,0
1.009733125,1
1.009750250,0
1.009758792,1
1.009767375,0
1.009784458,1
1.009793042,0
1.009810167,1
1.009835833,0
1.009844375,1
1.009852958,0
1.009870042,1
1.009878625,0
1.009895708,1
1.009921417,0
1.009929958,1
1.009938500,0
1.009947083,1
1.009955625,0
1.009964167,1
1.009972750,0
1.009981292,1
1.010006958,0
1.010015542,1
1.010024083,0
1.010032625,1
1.010049750,0
1.010066875,1
1.010092542,0
1.010101083,1
1.010109667,0
1.010152417,1
1.010178125,0
1.010186667,1
1.010195208,0
1.010203792,1
1.010212333,0
1.010220875,1
1.010229458,0
1.010238000,1
1.010263667,0
1.010272250,1
1.010280792,0
1.010289333,1
1.010306458,0
1.010332125,1
1.010349250,0
1.010357792,1
1.010366375,0
1.010400583,1
1.010409167,0
1.010417708,1
1.010434833,0
1.010443375,1
1.010451958,0
1.010460500,1
1.010469042,0
1.010477625,1
1.010486167,0
1.010494708,1
1.010520417,0
1.010528958,1
1.010537500,0
1.010546083,1
1.010563167,0
1.010588833,1
1.010605958,0
1.010614542,1
1.010623083,0
1.010657292,1
1.010665875,0
1.010674417,1
1.010691542,0
1.010700083,1
1.010708667,0
1.010717208,1
1.010725792,0
1.010734333,1
1.010742875,0
1.010751458,1
1.010777125,0
1.010785667,1
1.010794250,0
1.010802792,1
1.010811333,0
1.010819917,1
1.010837000,0
1.010871250,1
1.010879792,0
1.010896917,1
1.010905458,0
1.010914042,1
1.010922583,0
1.010956833,1
1.512531375,0
1.512557042,1
1.512565625,0
1.512574167,1
1.512582708,0
1.512591292,1
1.512599833,0
1.512608375,1
1.512616958,0
1.512625500,1
1.512634083,0
1.512642625,1
1.512651167,0
